dataset,ESPRESSO,BOCD,Window,PELT,BinSeg,FLOSS,ClaSP
Strawberry,0.3389999999999999,0.27,0.332,0.332,0.332,0.332,0.494
SuddenCardiacDeath1,0.38,0.3989999999999999,0.415,0.2189999999999999,0.209,0.934,0.938
SuddenCardiacDeath2,0.782,0.503,0.605,0.163,0.149,0.998,0.998
SuddenCardiacDeath3,0.495,0.444,0.605,0.152,0.155,0.605,0.619
SwedishLeaf,0.356,0.252,0.252,0.723,0.73,0.4629999999999999,0.997
Symbols,0.462,0.575,0.297,0.297,0.297,0.297,0.833
SyntheticControl,0.4589999999999999,0.1989999999999999,0.2,0.797,0.797,0.733,0.937
TiltABP,0.392,0.6659999999999999,0.6679999999999999,0.159,0.17,0.757,0.653
TiltECG,0.762,0.562,0.531,0.172,0.176,0.804,0.679
ToeSegmentation1,0.4579999999999999,0.813,0.5,0.947,0.947,0.5,1.0
ToeSegmentation2,0.472,0.593,0.5,0.5,0.5,0.5,0.997
Trace,0.318,0.4,0.344,0.344,0.344,0.75,0.652
TwoLeadECG,0.718,0.501,0.501,0.501,0.501,0.501,0.501
UMD,0.568,0.218,1.0,1.0,1.0,1.0,1.0
UWaveGestureLibraryAll,0.2189999999999999,0.372,0.201,0.884,0.887,0.564,0.992
UWaveGestureLibraryX,0.41,0.201,0.201,0.502,0.497,0.5489999999999999,0.987
UWaveGestureLibraryY,0.312,0.201,0.201,0.599,0.599,0.201,0.963
UWaveGestureLibraryZ,0.423,0.201,0.201,0.76,0.76,0.602,0.81
WalkJogRun1,0.5710000000000001,0.31,0.336,0.3339999999999999,0.441,0.746,0.938
WalkJogRun2,0.402,0.813,0.337,0.672,0.6729999999999999,0.727,0.901
WordSynonyms,0.547,0.775,0.727,0.988,0.988,0.846,0.845
Yoga,0.439,0.589,0.504,0.504,0.504,0.504,0.995
